sample_id,date,region,season,target,model,split,actual,predicted,residual,abs_error,sq_error
Center_summer_2021-06-21,2021-06-21,Center,summer,anchor,Tab-LSTM,test,34.075001,36.321913,2.246912,2.246912,5.048613
Center_summer_2021-06-28,2021-06-28,Center,summer,anchor,Tab-LSTM,test,34.075001,36.085523,2.010523,2.010523,4.042201
Center_summer_2021-07-01,2021-07-01,Center,summer,anchor,Tab-LSTM,test,34.075001,36.024449,1.949448,1.949448,3.800348
Center_summer_2021-07-07,2021-07-07,Center,summer,anchor,Tab-LSTM,test,37.408333,35.749245,-1.659088,1.659088,2.752572
Center_summer_2021-07-14,2021-07-14,Center,summer,anchor,Tab-LSTM,test,37.591667,35.477867,-2.113800,2.113800,4.468151
Center_summer_2021-07-21,2021-07-21,Center,summer,anchor,Tab-LSTM,test,37.591667,35.595950,-1.995717,1.995717,3.982885
Center_summer_2021-07-28,2021-07-28,Center,summer,anchor,Tab-LSTM,test,37.591667,35.199921,-2.391746,2.391746,5.720450
Center_summer_2021-08-01,2021-08-01,Center,summer,anchor,Tab-LSTM,test,37.591667,35.118417,-2.473250,2.473250,6.116966
Center_summer_2021-08-07,2021-08-07,Center,summer,anchor,Tab-LSTM,test,37.150002,36.078455,-1.071547,1.071547,1.148213
Center_summer_2021-08-14,2021-08-14,Center,summer,anchor,Tab-LSTM,test,34.758335,35.334726,0.576391,0.576391,0.332226
Center_summer_2021-08-21,2021-08-21,Center,summer,anchor,Tab-LSTM,test,34.849998,35.171109,0.321110,0.321110,0.103112
Center_summer_2021-08-28,2021-08-28,Center,summer,anchor,Tab-LSTM,test,34.849998,35.312410,0.462412,0.462412,0.213825
Center_summer_2021-09-01,2021-09-01,Center,summer,anchor,Tab-LSTM,test,34.849998,35.260657,0.410659,0.410659,0.168640
Center_summer_2021-09-07,2021-09-07,Center,summer,anchor,Tab-LSTM,test,34.849998,35.173507,0.323509,0.323509,0.104658
Center_summer_2021-09-14,2021-09-14,Center,summer,anchor,Tab-LSTM,test,33.566666,35.339185,1.772520,1.772520,3.141826
Center_summer_2021-09-21,2021-09-21,Center,summer,anchor,Tab-LSTM,test,33.566666,35.130347,1.563681,1.563681,2.445099
Center_summer_2021-09-28,2021-09-28,Center,summer,anchor,Tab-LSTM,test,32.033333,34.779773,2.746440,2.746440,7.542931
Center_summer_2021-10-01,2021-10-01,Center,summer,anchor,Tab-LSTM,test,32.033333,34.299072,2.265740,2.265740,5.133576
Center_summer_2021-10-07,2021-10-07,Center,summer,anchor,Tab-LSTM,test,33.966667,33.662224,-0.304443,0.304443,0.092686
Center_summer_2021-10-14,2021-10-14,Center,summer,anchor,Tab-LSTM,test,33.966667,34.477811,0.511144,0.511144,0.261268
Center_summer_2021-10-21,2021-10-21,Center,summer,anchor,Tab-LSTM,test,33.966667,33.348893,-0.617774,0.617774,0.381645
Center_summer_2021-10-28,2021-10-28,Center,summer,anchor,Tab-LSTM,test,33.966667,29.827228,-4.139440,4.139440,17.134960
Center_summer_2021-11-01,2021-11-01,Center,summer,anchor,Tab-LSTM,test,33.966667,31.545820,-2.420847,2.420847,5.860499
Center_summer_2021-11-07,2021-11-07,Center,summer,anchor,Tab-LSTM,test,32.775002,30.319860,-2.455141,2.455141,6.027719
