sample_id,date,region,season,target,model,split,actual,predicted,residual,abs_error,sq_error
Center_summer_2021-06-21,2021-06-21,Center,summer,anchor,ConvNeXtTiny-TFT,test,34.075001,38.299440,4.224439,4.224439,17.845887
Center_summer_2021-06-28,2021-06-28,Center,summer,anchor,ConvNeXtTiny-TFT,test,34.075001,37.028614,2.953613,2.953613,8.723829
Center_summer_2021-07-01,2021-07-01,Center,summer,anchor,ConvNeXtTiny-TFT,test,34.075001,37.020751,2.945750,2.945750,8.677442
Center_summer_2021-07-07,2021-07-07,Center,summer,anchor,ConvNeXtTiny-TFT,test,37.408333,36.552088,-0.856245,0.856245,0.733155
Center_summer_2021-07-14,2021-07-14,Center,summer,anchor,ConvNeXtTiny-TFT,test,37.591667,36.160565,-1.431102,1.431102,2.048053
Center_summer_2021-07-21,2021-07-21,Center,summer,anchor,ConvNeXtTiny-TFT,test,37.591667,35.884484,-1.707184,1.707184,2.914476
Center_summer_2021-07-28,2021-07-28,Center,summer,anchor,ConvNeXtTiny-TFT,test,37.591667,35.657656,-1.934011,1.934011,3.740398
Center_summer_2021-08-01,2021-08-01,Center,summer,anchor,ConvNeXtTiny-TFT,test,37.591667,36.307879,-1.283788,1.283788,1.648112
Center_summer_2021-08-07,2021-08-07,Center,summer,anchor,ConvNeXtTiny-TFT,test,37.150002,36.778617,-0.371385,0.371385,0.137926
Center_summer_2021-08-14,2021-08-14,Center,summer,anchor,ConvNeXtTiny-TFT,test,34.758335,35.828426,1.070091,1.070091,1.145095
Center_summer_2021-08-21,2021-08-21,Center,summer,anchor,ConvNeXtTiny-TFT,test,34.849998,35.241351,0.391352,0.391352,0.153156
Center_summer_2021-08-28,2021-08-28,Center,summer,anchor,ConvNeXtTiny-TFT,test,34.849998,35.166025,0.316027,0.316027,0.099873
Center_summer_2021-09-01,2021-09-01,Center,summer,anchor,ConvNeXtTiny-TFT,test,34.849998,35.102188,0.252189,0.252189,0.063599
Center_summer_2021-09-07,2021-09-07,Center,summer,anchor,ConvNeXtTiny-TFT,test,34.849998,35.261964,0.411965,0.411965,0.169715
Center_summer_2021-09-14,2021-09-14,Center,summer,anchor,ConvNeXtTiny-TFT,test,33.566666,36.028786,2.462120,2.462120,6.062036
Center_summer_2021-09-21,2021-09-21,Center,summer,anchor,ConvNeXtTiny-TFT,test,33.566666,35.651435,2.084769,2.084769,4.346262
Center_summer_2021-09-28,2021-09-28,Center,summer,anchor,ConvNeXtTiny-TFT,test,32.033333,35.100182,3.066849,3.066849,9.405561
Center_summer_2021-10-01,2021-10-01,Center,summer,anchor,ConvNeXtTiny-TFT,test,32.033333,34.520618,2.487285,2.487285,6.186587
Center_summer_2021-10-07,2021-10-07,Center,summer,anchor,ConvNeXtTiny-TFT,test,33.966667,34.105882,0.139215,0.139215,0.019381
Center_summer_2021-10-14,2021-10-14,Center,summer,anchor,ConvNeXtTiny-TFT,test,33.966667,33.387054,-0.579614,0.579614,0.335952
Center_summer_2021-10-21,2021-10-21,Center,summer,anchor,ConvNeXtTiny-TFT,test,33.966667,31.261184,-2.705483,2.705483,7.319640
Center_summer_2021-10-28,2021-10-28,Center,summer,anchor,ConvNeXtTiny-TFT,test,33.966667,31.097328,-2.869339,2.869339,8.233108
Center_summer_2021-11-01,2021-11-01,Center,summer,anchor,ConvNeXtTiny-TFT,test,33.966667,30.411699,-3.554968,3.554968,12.637800
Center_summer_2021-11-07,2021-11-07,Center,summer,anchor,ConvNeXtTiny-TFT,test,32.775002,29.872306,-2.902695,2.902695,8.425640
Center_summer_2021-11-14,2021-11-14,Center,summer,anchor,ConvNeXtTiny-TFT,test,32.775002,27.054120,-5.720881,5.720881,32.728481
Center_summer_2021-11-21,2021-11-21,Center,summer,anchor,ConvNeXtTiny-TFT,test,32.775002,25.736796,-7.038206,7.038206,49.536343
Center_summer_2021-11-28,2021-11-28,Center,summer,anchor,ConvNeXtTiny-TFT,test,32.775002,26.770208,-6.004793,6.004793,36.057540
Center_summer_2021-12-01,2021-12-01,Center,summer,anchor,ConvNeXtTiny-TFT,test,25.250000,30.200965,4.950965,4.950965,24.512052
Center_summer_2021-12-07,2021-12-07,Center,summer,anchor,ConvNeXtTiny-TFT,test,25.250000,25.365340,0.115340,0.115340,0.013303
Center_summer_2021-12-14,2021-12-14,Center,summer,anchor,ConvNeXtTiny-TFT,test,22.733334,27.037825,4.304492,4.304492,18.528650
Center_summer_2021-12-21,2021-12-21,Center,summer,anchor,ConvNeXtTiny-TFT,test,22.350000,23.690395,1.340394,1.340394,1.796657
Center_summer_2021-12-28,2021-12-28,Center,summer,anchor,ConvNeXtTiny-TFT,test,22.350000,23.968629,1.618629,1.618629,2.619959
Center_summer_2022-01-01,2022-01-01,Center,summer,anchor,ConvNeXtTiny-TFT,test,22.350000,24.538739,2.188739,2.188739,4.790578
Center_summer_2022-01-07,2022-01-07,Center,summer,anchor,ConvNeXtTiny-TFT,test,22.350000,25.562615,3.212615,3.212615,10.320893
Center_summer_2022-01-14,2022-01-14,Center,summer,anchor,ConvNeXtTiny-TFT,test,21.283333,24.901871,3.618538,3.618538,13.093819
Center_summer_2022-01-21,2022-01-21,Center,summer,anchor,ConvNeXtTiny-TFT,test,21.283333,25.103368,3.820035,3.820035,14.592669
Center_summer_2022-01-28,2022-01-28,Center,summer,anchor,ConvNeXtTiny-TFT,test,25.116667,25.424721,0.308054,0.308054,0.094897
Center_summer_2022-02-01,2022-02-01,Center,summer,anchor,ConvNeXtTiny-TFT,test,25.116667,25.830785,0.714118,0.714118,0.509965
Center_summer_2022-02-07,2022-02-07,Center,summer,anchor,ConvNeXtTiny-TFT,test,27.775000,26.381879,-1.393121,1.393121,1.940786
