sample_id,date,region,season,target,model,split,actual,predicted,residual,abs_error,sq_error
Center_winter_2021-06-14,2021-06-14,Center,winter,anchor,SeasonalNaive,test,18.25,17.758333,-0.491667,0.491667,0.241736
Center_winter_2021-06-21,2021-06-21,Center,winter,anchor,SeasonalNaive,test,18.25,18.875,0.625,0.625,0.390625
Center_winter_2021-06-28,2021-06-28,Center,winter,anchor,SeasonalNaive,test,20.583334,19.066667,-1.516667,1.516667,2.300279
Center_winter_2021-07-01,2021-07-01,Center,winter,anchor,SeasonalNaive,test,20.583334,19.066667,-1.516667,1.516667,2.300279
Center_winter_2021-07-07,2021-07-07,Center,winter,anchor,SeasonalNaive,test,20.583334,19.983333,-0.600001,0.600001,0.360001
Center_winter_2021-07-14,2021-07-14,Center,winter,anchor,SeasonalNaive,test,21.258333,19.983333,-1.275,1.275,1.625625
Center_winter_2021-07-21,2021-07-21,Center,winter,anchor,SeasonalNaive,test,21.483334,19.983333,-1.500001,1.500001,2.250003
Center_winter_2021-07-28,2021-07-28,Center,winter,anchor,SeasonalNaive,test,21.383333,19.983333,-1.4,1.4,1.96
Center_winter_2021-08-01,2021-08-01,Center,winter,anchor,SeasonalNaive,test,21.383333,19.983333,-1.4,1.4,1.96
Center_winter_2021-08-07,2021-08-07,Center,winter,anchor,SeasonalNaive,test,21.383333,20.7,-0.683333,0.683333,0.466944
Center_winter_2021-08-14,2021-08-14,Center,winter,anchor,SeasonalNaive,test,20.858334,20.7,-0.158334,0.158334,0.02507
Center_winter_2021-08-21,2021-08-21,Center,winter,anchor,SeasonalNaive,test,20.066668,20.958333,0.891665,0.891665,0.795066
Center_winter_2021-08-28,2021-08-28,Center,winter,anchor,SeasonalNaive,test,17.933332,20.733333,2.800001,2.800001,7.840006
Center_winter_2021-09-01,2021-09-01,Center,winter,anchor,SeasonalNaive,test,17.933332,20.733333,2.800001,2.800001,7.840006
Center_winter_2021-09-07,2021-09-07,Center,winter,anchor,SeasonalNaive,test,17.933332,18.658333,0.725001,0.725001,0.525626
Center_winter_2021-09-14,2021-09-14,Center,winter,anchor,SeasonalNaive,test,17.308332,18.658333,1.350001,1.350001,1.822503
Center_winter_2021-09-21,2021-09-21,Center,winter,anchor,SeasonalNaive,test,17.308332,18.15,0.841668,0.841668,0.708405
Center_winter_2021-09-28,2021-09-28,Center,winter,anchor,SeasonalNaive,test,16.308332,18.15,1.841668,1.841668,3.391741
Center_winter_2021-10-01,2021-10-01,Center,winter,anchor,SeasonalNaive,test,15.908334,18.15,2.241666,2.241666,5.025066
Center_winter_2021-10-07,2021-10-07,Center,winter,anchor,SeasonalNaive,test,15.272727,16.775,1.502273,1.502273,2.256824
Center_winter_2021-10-14,2021-10-14,Center,winter,anchor,SeasonalNaive,test,12.1,14.875,2.775,2.775,7.700625
Center_winter_2021-10-21,2021-10-21,Center,winter,anchor,SeasonalNaive,test,12.1,13.55,1.45,1.45,2.1025
